amount,venue,address,city,city_id,state,state_full,zip,type,inst_id
35675.44,"Juneau Symphony, Inc. ",PO BOX 21236 ,Juneau,8,AK,Alaska,99802,Live performing arts organization operator,31
26453.70,"Alaska Children's Institute For the Performing Arts, Inc ",42715 Kenai Spur Hwy,Kenai,9,AK,Alaska,99611,Theatrical producer,32
97307.00,"Kodiak Baranof Productions, Inc. ",722 Mill Bay Road Gerald C. Wilson Auditorium,Kodiak,10,AK,Alaska,99615,Live performing arts organization operator,33
12794.16,Kodiak Historical Society ,101 E Marine Way ,Kodiak,10,AK,Alaska,99615,Museum Operator,34
167181.77,ORPHEUM THEATRE ,102 CENTER AVE ,Kodiak,10,AK,Alaska,99615,Motion picture theater operator,35
682632.35,"Alaska Arts Southeast, Inc. ",110 College Drive Suite 111,Sitka,11,AK,Alaska,99835,Live performing arts organization operator,36
162536.05,"Gold Rush Productions, Inc. ",PO Box 215,Skagway,12,AK,Alaska,99840,Theatrical producer,37
315684.85,"360 Entertainment, LLC ",PO Box 3610 35493 KB Dr,Soldotna,13,AK,Alaska,99669,Motion picture theater operator,38
28800.91,Denali Arts Council ,22249 S D Street ,Talkeetna,14,AK,Alaska,99676,Live venue operator or promoter,39
186650.00,Valley Performing Arts ,251 West Swanson Avenue ,Wasilla,15,AK,Alaska,99654,Live venue operator or promoter,40
42527.50,"enJOY entertainment, LLC ",142 Park Place Cir ,Alabaster,16,AL,Alabama,35007,Live venue operator or promoter,41
182386.56,City of Anniston - Anniston Museums and Gardens ,4309 McClellan Blvd ,Anniston,17,AL,Alabama,36206,Museum Operator,42
326121.50,Cinemagic Theatre LLC ,1702 S Jefferson Street,Athens,18,AL,Alabama,35611,Motion picture theater operator,43
630221.14,Events at OWA LLC ,100 Brookwood Road ,Atmore,19,AL,Alabama,36502,Live venue operator or promoter,44
26405.00,FAGEL ONEAL EL ,1655 S. COLLEGE STREET D,Auburn,20,AL,Alabama,36832,Live venue operator or promoter,45
1969328.75,"Fourth Quarter, Inc. ",136 W Magnolia Ave ,Auburn,20,AL,Alabama,36830,Live venue operator or promoter,46
904139.59,Jay and Susie Gogue Performing Art Center at Auburn University ,910 South College Street ,Auburn,20,AL,Alabama,36849,Live venue operator or promoter,47
89326.35,Jule Collins Smith Museum of Fine Art at Auburn University ,901 South College ,Auburn,20,AL,Alabama,36849,Museum Operator,48
33440.76,Arlington Historic House ,331 Cotton Avenue SW,Birmingham,21,AL,Alabama,35203,Museum Operator,49
683056.90,"Avondale Brewing Company, LLC ",201 41st Street South ,Birmingham,21,AL,Alabama,35222,Live venue operator or promoter,50
1889573.75,Barber Vintage Motorsports Museum ,6030 Barber Motorsports Parkway ,Birmingham,21,AL,Alabama,35094,Museum Operator,51
284349.02,Birmingham Children's Theatre ,PO Box 1362 ,Birmingham,21,AL,Alabama,35201,Live performing arts organization operator,52
215338.24,Birmingham Civil Rights Institute ,520 16th St North ,Birmingham,21,AL,Alabama,35203,Museum Operator,53
17646.02,Birmingham Festival Theatre ,P.O. Box 55321 ,Birmingham,21,AL,Alabama,35205,Theatrical producer,54
1142822.90,"Birmingham Landmarks, Inc. ",1817 3rd Avenue North ,Birmingham,21,AL,Alabama,35203,Live performing arts organization operator,55
2290087.29,"Birmingham Zoo, Inc. ",2630 Cahaba Road ,Birmingham,21,AL,Alabama,35223,Museum Operator,56
337229.01,Code-R Productions ,118 Overbrook Road ,Birmingham,21,AL,Alabama,35213,Live venue operator or promoter,57
78035.08,Definitive Productions LLC ,2201 1st Avenue North ,Birmingham,21,AL,Alabama,35203,Talent representative,58
267680.70,Empowerment Incorporated ,118 Huntingdon Place ,Birmingham,21,AL,Alabama,35242,Live venue operator or promoter,59
68201.04,Fiesta 2003 ,3424 Water Oak Drive ,Birmingham,21,AL,Alabama,35243,Live performing arts organization operator,60
1675104.90,"Iron City Live, Inc. ",513 22nd Street South,Birmingham,21,AL,Alabama,35233,Live venue operator or promoter,61
947987.95,"JROK, Inc. ",4 Dexter Avenue ,Birmingham,21,AL,Alabama,35213,Live venue operator or promoter,62
1358938.05,McWane Science Center ,"200 19th Street, North",Birmingham,21,AL,Alabama,35203,Museum Operator,63
271925.14,Metropolitan Arts Center ,1116 South 26th Street ,Birmingham,21,AL,Alabama,35205,Live venue operator or promoter,64
227541.98,Mr Nick INC ,2514 10th Avenue South ,Birmingham,21,AL,Alabama,35205,Live venue operator or promoter,65
133192.22,Reaction Presents LLC ,1729 Cullum Street South Apt E,Birmingham,21,AL,Alabama,35205,Live venue operator or promoter,66
643502.75,Red Mountain Theatre Company Inc. ,1600 3rd Ave South ,Birmingham,21,AL,Alabama,35233,Theatrical producer,67
597625.99,Saturn Music LLC ,200 41st St. S. ,Birmingham,21,AL,Alabama,35222,Live venue operator or promoter,68
297146.65,Sidewalk Film Center and Cinema ,1821 2nd Ave. N. ,Birmingham,21,AL,Alabama,35203,Motion picture theater operator,69
272700.60,"State of Alabama Ballet, Inc ",2726 1st Ave South,Birmingham,21,AL,Alabama,35233,Live performing arts organization operator,70
5400.00,Studio 2500 Incorporated ,2500 26th Avenue North ,Birmingham,21,AL,Alabama,35234,Live performing arts organization operator,71
59221.51,Terrific New Theatre ,PO Box 130368 ,Birmingham,21,AL,Alabama,35213,Live performing arts organization operator,72
1567490.55,"The Comedy Club, Inc ",1818 DATA DRIVE ,Birmingham,21,AL,Alabama,35244,Live venue operator or promoter,73
789391.80,University of Alabama at Birmingham ,1200 10th Ave South ,Birmingham,21,AL,Alabama,35205,Live venue operator or promoter,74
219872.15,"Williams Brothers Music Hall, LLC ",500 23rd street south ,Birmingham,21,AL,Alabama,35233,Live venue operator or promoter,75
166000.00,Boaz9cinema LLC ,215 south mcclesky street ,Boaz,22,AL,Alabama,35957,Motion picture theater operator,76
19994.40,David Clark ,523 Buchanan Dr ,Dauphin Island,23,AL,Alabama,36528,Talent representative,77
125814.86,Princess Theatre Center for the Performing Arts ,112 2nd AVE NE ,Decatur,24,AL,Alabama,35601,Live performing arts organization operator,78
40000.00,Pyramid Gang Entertainment ,1219 Moulton ST SE ,Decatur,24,AL,Alabama,35601,Talent representative,79
14213.70,Space night club of dothan ,4129 ross clark circle ,Dothan,25,AL,Alabama,36303,Live venue operator or promoter,80
1752555.88,"Clark Theatres, Inc. ",100 New Centre Drive ,Enterprise,26,AL,Alabama,36330,Motion picture theater operator,81
120261.35,"Southern Broadway Theater Company, LLC ",104 North Main Street ,Enterprise,26,AL,Alabama,36330,Theatrical producer,82
138516.98,Community Theatre Inc ,123 N Seminary Street ,Florence,27,AL,Alabama,35630,Live venue operator or promoter,83
66195.90,Shoals Symphony Orchestra ,409 N. Court St. Suite 100,Florence,27,AL,Alabama,35630,Live performing arts organization operator,84
280571.40,"Fort Payne Cinemas, LLC ",2715 Gault Ave. North,Fort Payne,28,AL,Alabama,35967,Motion picture theater operator,85
284967.23,Edge Cinema LLC ,601 Paul Stabler Drive ,Greenville,29,AL,Alabama,36037,Motion picture theater operator,86
251442.55,HO-MF LLC ,101 E BEACH BLVD ,Gulf Shores,30,AL,Alabama,36542,Live venue operator or promoter,87
121718.72,"Ainsworth Shows, LLC ",7520 Browns Valley Road,Guntersville,31,AL,Alabama,35976,Live venue operator or promoter,88
14098.95,"Gifted Hands Entertainment, LLC ",2069 Cherry Avenue Suite 200,Hueytown,32,AL,Alabama,35023,Live venue operator or promoter,89
160025.90,Fantasy Playhouse Children's Theater ,3312 Long Avenue SW ,Hunstville,33,AL,Alabama,35805,Live performing arts organization operator,90
462252.36,Alabama Constitution Village Huntsville Historical Depot d/b/a EarlyWo ,404 Madison St ,Huntsville,34,AL,Alabama,35801,Museum Operator,91
996231.28,"Big Spring Entertainment, LLC ","305 Church Street, Suite 715 ",Huntsville,34,AL,Alabama,35801,Talent representative,92
1077682.95,Broadway Theatre League of Huntsville Inc ,700 Monroe St Suite 410,Huntsville,34,AL,Alabama,35801,Live performing arts organization operator,93
5807003.69,"Huntsville, City of d/b/a Von Braun Civic Center ",700 Monroe Street ,Huntsville,34,AL,Alabama,35801,Live venue operator or promoter,94
1002289.50,Launch-Pad Comedy Theatre LLC ,2012 Memorial Pkwy SW ,Huntsville,34,AL,Alabama,35801,Live venue operator or promoter,95
95383.66,"Merrimack Academy for the Performing Arts, Inc ",3320 Triana Boulevard SW ,Huntsville,34,AL,Alabama,35805,Live performing arts organization operator,96
10375.66,Natural Models AL ,2529 Garden park drive nw ,Huntsville,34,AL,Alabama,35810,Talent representative,97
12487.50,Shenanigans Comedy Theatre ,"2650 Leeman Ferry Rd., Suite A ",Huntsville,34,AL,Alabama,35801,Live venue operator or promoter,98
82590.65,Theatre Huntsville ,2211 Seminole Dr SW Studio 263/265,Huntsville,34,AL,Alabama,35805,Live performing arts organization operator,99
7101.90,"Valley Arts and Entertainment, INC. ","2201 Clinton Ave W, Suite F ",Huntsville,34,AL,Alabama,35805,Live performing arts organization operator,100
311840.21,Post Panda Promotions dab Big Friendly Entertainment ,2981 Grants Mill Road Suite 121,Leeds,35,AL,Alabama,35094,Talent representative,101
1903576.05,Rainbow Cinemas LLC ,2100 Hughes Rd ,Madison,36,AL,Alabama,35758,Motion picture theater operator,102
983487.00,City of Mobile ,P.O. Box 1827 205 Government Street,Mobile,37,AL,Alabama,36633,Live venue operator or promoter,103
131873.19,Crescent Theater ,208 Dauphin St. ,Mobile,37,AL,Alabama,36602,Motion picture theater operator,104
621609.69,"Dog Dreams, LLC ",219 Dauphin Street ,Mobile,37,AL,Alabama,36602,Live venue operator or promoter,105
379493.04,"Mobile Ballet, Inc. ",4351 Downtowner Loop North ,Mobile,37,AL,Alabama,36609,Live performing arts organization operator,106
648573.20,"Nexus Cinema Dining, LLC ",7070 Bruns Dr ,Mobile,37,AL,Alabama,36695,Motion picture theater operator,107
92650.05,"PEEC OF MOBILE, INC ",1725 Northview Drive ,Mobile,37,AL,Alabama,36618,Live venue operator or promoter,108
317616.95,"Perdido Queen Cruises, LLC ",1 S WATER ST,Mobile,37,AL,Alabama,36602,Live venue operator or promoter,109
110831.53,Schwathews Mathwall LLP ,12 S Conception Street,Mobile,37,AL,Alabama,36604,Live venue operator or promoter,110
65163.15,"Selwonk Enterprises, Inc ",505 Bay Shore St. ,Mobile,37,AL,Alabama,36607,Live venue operator or promoter,111
6075.00,Susannah Murphy ,5413 Hilltop Dr S ,Mobile,37,AL,Alabama,36608,Theatrical producer,112
338648.05,The Explore Center Inc. ,P.O. Box 1968 ,Mobile,37,AL,Alabama,36633,Museum Operator,113
2558608.20,USS ALABAMA Battleship Commission d/b/a USS ALABAMA Battleship Memoria ,2703 Battleship Parkway,Mobile,37,AL,Alabama,36602,Museum Operator,114
1180245.56,Alabama Shakespeare Festival ,1 Festival Drive ,Montgomery,38,AL,Alabama,36117,Live performing arts organization operator,115
87431.75,"Capri Community Film Society, Inc ",1045 E Fairview Ave ,Montgomery,38,AL,Alabama,36106,Motion picture theater operator,116
1199671.26,City of Montgomery ,103 N Perry Street ,Montgomery,38,AL,Alabama,36104,Museum Operator,117
90552.25,Montgomery Museum of Fine Arts Association ,One Museum Drive ,Montgomery,38,AL,Alabama,36117,Museum Operator,118
247535.11,The Landmarks Foundation of Montgomery Inc. ,301 Columbus St. ,Montgomery,38,AL,Alabama,36104,Museum Operator,119
431345.00,Turnipblood Entertainment LLC ,1320 Lurleen B Wallace Blvd ,Northport,39,AL,Alabama,35476,Talent representative,120
40824.46,Tuscaloosa Children's Theatre Inc ,3700 Northbrook Drive Unit #15 ,Northport,39,AL,Alabama,35473,Live performing arts organization operator,121
14088.00,Mustang Museum of America ,49 Forman Farm Road ,Odenville,40,AL,Alabama,35120,Museum Operator,122
310318.20,"Hustle Squad Entertainment, LLC ",2320 Old Columbus RD ,Opelika,41,AL,Alabama,36804,Live venue operator or promoter,123
87334.20,"The Arts Association of East Alabama, Inc. ",1103 Glenn Street ,Opelika,41,AL,Alabama,36801,Live performing arts organization operator,124
35380.00,The Sound Wall LLC ,605 Ave B ,Opelika,41,AL,Alabama,36801,Live venue operator or promoter,125
539420.52,City of Oxford ,145 Hamrick Drive East,Oxford,42,AL,Alabama,36203,Live venue operator or promoter,126
50332.95,"Harlow, Inc dba Live@Harlow's ",190 West Reynolds St PO BOX 2428,Ozark,43,AL,Alabama,36360,Live venue operator or promoter,127
392000.96,"Lucas Cinemas, LLC ",2204 St. Andrews Way ,Phenix City,44,AL,Alabama,36867,Motion picture theater operator,128
6996.08,"Dorm Eleven, LLC ",414 North Montgomery Ave,Sheffield,45,AL,Alabama,35660,Live venue operator or promoter,129
473999.04,Valley Investments llc ,P.O. Box 190 100 Bradford Road,Springville,46,AL,Alabama,35146,Live venue operator or promoter,130
20871.90,Blooms 4 You ,14171 Dragoon Ct ,Summerdale,47,AL,Alabama,36580,Live venue operator or promoter,131
254847.32,Troy University ,600 University Avenue 247 Adams Administraion,Troy,48,AL,Alabama,36082,Museum Operator,132
141608.15,"Arts and Humanities Council of Tuscaloosa County, Inc. ",600 Greensboro Ave. ,Tuscaloosa,49,AL,Alabama,35401,Live performing arts organization operator,133
2201064.75,"City of Tuscaloosa, Alabama ",2201 University Blvd ,Tuscaloosa,49,AL,Alabama,35401,Live venue operator or promoter,134
96363.22,Theatre Tuscaloosa Inc ,9500 Old Greensboro Rd #135,Tuscaloosa,49,AL,Alabama,35405,Theatrical producer,135
45965.82,"Tennessee Valley Art Association, Inc ",511 N Water Street ,Tuscumbia,50,AL,Alabama,35674,Live performing arts organization operator,136
1800.00,Titanium Music Productions Group ,20 Sandy Springs Drive ,Wetumpka,51,AL,Alabama,36092,Talent representative,137
17482.16,The Pastime Theatre ,1052 US HWY 43 PO Box 766,Winfield,52,AL,Alabama,35594,Live performing arts organization operator,138
66853.97,"Alma Education and Arts Foundation, Inc. ",P. O. Box 2359 103 E. Main Street,Alma,53,AR,Arkansas,72921,Live performing arts organization operator,139
152253.35,"Melba Group, LLC ",115 West Main Street ,Batesville,54,AR,Arkansas,72501,Motion picture theater operator,140
278349.00,Oaks Cinema 7 LLC ,2250 Harrison St ,Batesville,54,AR,Arkansas,72501,Motion picture theater operator,141
77674.21,"Royal Players, Inc. ",111 S. Market Street P. O. Box 1743,Benton,55,AR,Arkansas,72015,Live performing arts organization operator,142
41215.25,Civic Symphony of Benton County Guild ,PO Box 1723 ,Bentonville,56,AR,Arkansas,72712,Live performing arts organization operator,143
164945.25,Clark Theatrical Productions DBA Main Theatre ,207-209 South Main St. ,Berryville,57,AR,Arkansas,72616,Motion picture theater operator,144
27066.60,Jerry Williams ,9171 Highway 49B N ,Brookland,58,AR,Arkansas,72417,Live venue operator or promoter,145
1165492.20,"Silver Screen Cabot, LLC ",100 Cinema Blvd ,Cabot,59,AR,Arkansas,72023,Motion picture theater operator,146
113550.00,At The Movie Show LLC ,2424 Clark Rd ,Clarksville,60,AR,Arkansas,72830,Motion picture theater operator,147
54006.42,Gateway Twin Cinema ,3008 Hwy 65 South ,Clinton,61,AR,Arkansas,72031,Motion picture theater operator,148
9900.45,Rock Pit Ranch ,6746 Hwy 16 E ,Clinton,61,AR,Arkansas,72031,Live venue operator or promoter,149
9738047.00,Awakening Events Inc ,3790 Lazy Creek Trail ,Conway,62,AR,Arkansas,72032,Live venue operator or promoter,150
220224.93,Reynolds Performance Hall at University of Central Arkansas ,201 Donaghey Avenue ,Conway,62,AR,Arkansas,72035,Live performing arts organization operator,151
340374.75,"El Dorado Festivals & Events, Inc. ",101 E. Locust ,El Dorado,63,AR,Arkansas,71730,Live venue operator or promoter,152
717866.95,Stars Motion Pictures Corp. ,"PO Box 10010 2620 W Hillsboro St, ",El Dorado,63,AR,Arkansas,71730,Motion picture theater operator,153
481108.27,Elna M. Smith Foundation ,935 Passion Play Rd ,Eureka Springs,64,AR,Arkansas,72632,Theatrical producer,154
72845.90,Inspiration Point Fine Arts Colony ,16311 Highway 62 W ,Eureka Springs,64,AR,Arkansas,72632,Live performing arts organization operator,155
158960.27,Folk School of Fayetteville ,1 E Mountain ,Fayetteville,65,AR,Arkansas,72701,Live venue operator or promoter,156
76913.66,"Six Twelve Coffeehouse & Bar, LLC ",3980 W Wedington Dr Suite 19,Fayetteville,65,AR,Arkansas,72704,Live venue operator or promoter,157
144377.63,Symphony of Northwest Arkansas ,P.O. Box 1243 ,Fayetteville,65,AR,Arkansas,72702,Live performing arts organization operator,158
1347578.45,"The Crowne Group, LLC ",519 W Dickson Street ,Fayetteville,65,AR,Arkansas,72701,Live venue operator or promoter,159
350094.61,"Theatre Squared, Inc ",477 W Spring St ,Fayetteville,65,AR,Arkansas,72701,Theatrical producer,160
123882.81,Thomas-York Inc ,2101 N. Green Acres Rd. STE 2 ,Fayetteville,65,AR,Arkansas,72703,Talent representative,161
9864805.05,"Walton Arts Center Council, Inc. ",PO Box 3547 255 N School Ave,Fayetteville,65,AR,Arkansas,72702,Live venue operator or promoter,162
25171.20,Fort Smith Art Center Inc. ,1601 Rogers Avenue,Fort Smith,66,AR,Arkansas,72901,Museum Operator,163
606935.70,"TempleLive, LLC ",200 North 11 Street ,Fort Smith,66,AR,Arkansas,72901,Live venue operator or promoter,164
51257.55,Gypsies L.L.C. ,7 Springhill dr ,Greenbrier,67,AR,Arkansas,72058,Live performing arts organization operator,165
108341.73,HIGHLAND TWIN CINEMA LLC ,PO Box 43 ,Hardy,68,AR,Arkansas,72542,Motion picture theater operator,166
58864.63,Ozark Arts Council ,115 W. Rush Ave ,Harrison,69,AR,Arkansas,72601,Live performing arts organization operator,167
96019.25,Gem Theatre ,117/119 West Main Street ,Heber Springs,70,AR,Arkansas,72543,Motion picture theater operator,168
345977.35,SONNY BOY BLUES SOCIETY ,319 Phillips St ,Helena-West Helena,71,AR,Arkansas,72342,Live performing arts organization operator,169
196761.59,"Devine and Associates, LLC ",142 Cougar Terrace ,Hot Springs,72,AR,Arkansas,71913,Live venue operator or promoter,170
783929.00,Hot Springs Mall Cinema LLC ,4501 Central Ave ,Hot Springs,72,AR,Arkansas,71913,Motion picture theater operator,171
37273.20,"Low Key Arts, Inc. ",118 ARBOR STREET ,Hot Springs,72,AR,Arkansas,71901,Live venue operator or promoter,172
429140.14,Mid-America Science Museum ,500 Mid America Blvd. ,Hot Springs,72,AR,Arkansas,71913,Museum Operator,173
211036.44,"Theatre of Magic, Inc ",817 Central Ave ,Hot Springs,72,AR,Arkansas,71901,Live venue operator or promoter,174
15117.48,Delta Symphony Orchestra ,P.O. Box 19117 920 Gee Street,Jonesboro,73,AR,Arkansas,72403,Live performing arts organization operator,175
868772.35,Arkansas Repertory Theatre ,P.O. Box 110 ,Little Rock,74,AR,Arkansas,72203,Theatrical producer,176
432197.79,"Arkansas Symphony Orchestra Society, Inc. ",2417 N Tyler St ,Little Rock,74,AR,Arkansas,72207,Live performing arts organization operator,177
157426.70,"Ballet Arkansas, Inc. ",520 Main Street ,Little Rock,74,AR,Arkansas,72201,Live performing arts organization operator,178
43968.21,Brandon House Cultural & Performing Arts Center ,"3802 West 12th Street P O Box 466 Little Rock, AR 72203",Little Rock,74,AR,Arkansas,72204,Live performing arts organization operator,179
1520683.19,City of Little Rock ,500 West Markham Street ,Little Rock,74,AR,Arkansas,72201,Museum Operator,180
60330.80,"Club Sway, Inc. ",412 Louisiana St.,Little Rock,74,AR,Arkansas,72206,Live venue operator or promoter,181
977692.50,DWB LLC ,302 President Clinton ,Little Rock,74,AR,Arkansas,72201,Live venue operator or promoter,182
11681.60,Flux Fesitvals LLC ,PO Box 55045,Little Rock,74,AR,Arkansas,72215,Live venue operator or promoter,183
69057.00,HOGS BREATH GRILL LLC ,9500 INTERSTATE 30 ,Little Rock,74,AR,Arkansas,72209,Live venue operator or promoter,184
236361.61,"Loony Bin of Little Rock, LLC ",10301 N RODNEY PARHAM RD C12-14 ,Little Rock,74,AR,Arkansas,72227,Live venue operator or promoter,185
693634.83,murry's dinner playhouse inc. ,6323 colonel glenn ,Little Rock,74,AR,Arkansas,72204,Live performing arts organization operator,186
354107.70,Museum of Discovery ,"500 President Clinton Ave, Ste 150. Little Rock, AR 72201 ",Little Rock,74,AR,Arkansas,72201,Museum Operator,187
33229.25,"Opera in the Rock, Inc. ",1818 N Taylor St #413 ,Little Rock,74,AR,Arkansas,72207,Live performing arts organization operator,188
363398.85,"Revolution Entertainment Group, LLC ",300 President Clinton Ave ,Little Rock,74,AR,Arkansas,72201,Live venue operator or promoter,189
127800.97,"Wildwood Park for the Arts, Inc ",20919 Denny Road ,Little Rock,74,AR,Arkansas,72223,Live performing arts organization operator,190
223706.04,Adams Ventures ,808 S Bloomington ,Lowell,75,AR,Arkansas,72745,Live venue operator or promoter,191
89340.00,"North Plaza Entertainment, Inc. ",P.O.Box 848 ,Morrilton,76,AR,Arkansas,72110,Motion picture theater operator,192
736185.79,"Sun Valley Cinemas, Inc. ",1032 Hwy. 62 East,Mountain Home,77,AR,Arkansas,72653,Motion picture theater operator,193
89552.05,Argenta Community Theater ,P. O. Box 5607,North Little Rock,78,AR,Arkansas,72119,Live performing arts organization operator,194
4856.34,Bearden Production Company ,115 East Broadway (Online Performances) ,North Little Rock,78,AR,Arkansas,72114,Live performing arts organization operator,195
64534.86,Maumelle Event Center ,10910 Maumelle Blvd ,North Little Rock,78,AR,Arkansas,72113,Live venue operator or promoter,196
3676806.10,"Pulaski County Multi-Purpose Civic Center Facilities Board, d/b/a Simm ",1 Simmons Bank Arena Dr ,North Little Rock,78,AR,Arkansas,72114,Live venue operator or promoter,197
118758.08,"THE JOINT ARGENTA, INC ",301 MAIN STE. 102,North Little Rock,78,AR,Arkansas,72114,Live venue operator or promoter,198
821018.85,"Arkansas Cinemas, LLC ",2707 West Kingshighway ,Paragould,79,AR,Arkansas,72450,Motion picture theater operator,199
869610.82,Pine Bluff Civic Auditorium Complex Commission ,1 Convention Center Plaza ,Pine Bluff,80,AR,Arkansas,71601,Live venue operator or promoter,200
35957.51,Rain Investments LLC ,2901 Pines Mall Dr. Suite 500,Pine Bluff,80,AR,Arkansas,71601,Motion picture theater operator,201
28651.95,Studio For the Arts Inc. ,1401 Hwy 304 East ,Pocahontas,81,AR,Arkansas,72455,Live venue operator or promoter,202
116061.50,Rogers Little Theater ,116 S. Second St ,Rogers,82,AR,Arkansas,72756,Live performing arts organization operator,203
679143.00,Searcy Cinema Inc ,2933 E Race Ave ,Searcy,83,AR,Arkansas,72143,Motion picture theater operator,204
339559.20,SPRINGDALE CIVIC CENTER LLC ,2323 S OLD MISSOURI RD STE D,Springdale,84,AR,Arkansas,72764,Live venue operator or promoter,205
3928.31,GrandPrairieArtsCouncil/Art Center of the Grand Prairie ,108 W 12th ,Stuttgart,85,AR,Arkansas,72160,Museum Operator,206
28748.65,Texarkana Symphony Orchestra ,421 Hickory Street ,Texarkana,86,AR,Arkansas,71854,Live performing arts organization operator,207
284049.00,Entertainment Events Inc ,1908 W EASTMAN CT ,Anthem,87,AZ,Arizona,85086,Theatrical producer,208
81605.80,"Musical Theatre of Anthem, Inc. ",42201 N 41st Dr Ste B100 ,Anthem,87,AZ,Arizona,85086,Live venue operator or promoter,209
112365.85,"TopWater, LLC ",24445 W. Sunrise Dr. ,Buckeye,88,AZ,Arizona,85326,Live venue operator or promoter,210
236365.95,Liverpool Productions LLC ,PO Box 5523 ,Carefree,89,AZ,Arizona,85377,Talent representative,211
10187.79,Mildred D. Robinson ,420 N. Florence St.,Casa Grande,90,AZ,Arizona,85122,Live performing arts organization operator,212
2612678.40,Alamo Chandler LLC ,4955 S Arizona Ave ,Chandler,91,AZ,Arizona,85249,Motion picture theater operator,213
868665.91,Chandler Cultural Foundation ,250 North Arizona Avenue ,Chandler,91,AZ,Arizona,85225,Live performing arts organization operator,214
40552.42,"ImprovMANIA Entertainment, LLC ",250 S ARIZONA AVE Suite 3,Chandler,91,AZ,Arizona,85225,Live venue operator or promoter,215
