prime_recipient,award_amount,sub_recipient,address1,address2,address3,city,state,zip,county,district,award_number,award_type,award_description,sub_award,spent_to_date,project_description,project_status,spending_category,category_description
K'OYITL'OTS'INA LIMITED,1285336.0,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1285336.0,,,,,
KAKE TRIBAL CORPORATION,268682.26,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,268682.26,,,,,
KENAITZE INDIAN TRIBE,11412490.67,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,11412490.67,,,,,
KETCHIKAN INDIAN COMMUNITY,8994633.44,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,7747969.15,,,,,
KIJIK CORPORATION,151503.17,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,65800.00004,,,,,
KIKIKTAGRUK INUPIAT CORPORATION,2459111.49,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2457587.37,,,,,
KING ISLAND NATIVE COMMUNITY,1322904.84,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1322904.84,,,,,
"KIVALINA, NATIVE VILLAGE OF",1344129.32,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1344129.32,,,,,
KLAWOCK COOPERATIVE ASSOCIATION,1229664.51,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1229536.83,,,,,
KLAWOCK HEENYA CORPORATION,179646.5,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,179646.5,,,,,
KNIK TRIBE,15129672.5,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,15129672.5,,,,,
KOKARMUIT CORP,159851.95,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,159851.95,,,,,
KOKHANOK VILLAGE,585367.33,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,585367.33,,,,,
"KONGIGANAK, NATIVE VILLAGE OF",1820864.63,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1820864.63,,,,,
"KONIAG, INC.",6776696.84,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,6776696.84,,,,,
KOOTZNOOWOO INC,168625.53,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,168625.53,,,,,
"KOTLIK, VILLAGE OF",2238693.52,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2238693.52,,,,,
KOYUKUK NATIVE VILLAGE,373989.87,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,373989.87,,,,,
"KUITSARAK, INC.",200750.78,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,200750.78,,,,,
"KUSKOKWIM CORPORATION, THE",821474.24,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,820431.24,,,,,
"KWINHAGAK, NATIVE VILLAGE OF",2621723.24,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2361709.81,,,,,
"LEISNOI, INCORPORATED",255690.58,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,255690.5801,,,,,
MANLEY VILLAGE COUNCIL,159354.64,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,159354.64,,,,,
MANOKOTAK VILLAGE,1628159.72,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1628159.72,,,,,
"MARSHALL, NATIVE VILLAGE OF",1553631.0,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1524696.41,,,,,
MASERCULIQ INCORPORATED,244060.47,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,244060.4701,,,,,
MENTASTA TRADITIONAL COUNCIL,356354.13,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,147038.49,,,,,
METLAKATLA INDIAN COMMUNITY,6695162.81,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,6695162.81,,,,,
"MTNT, LTD.",677675.35,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,677675.35,,,,,
NAKNEK NATIVE VILLAGE COUNCIL,713712.12,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,284000.78,,,,,
"NANA REGIONAL CORPORATION, INC.",32848638.26,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,31874845.0,,,,,
"NAPAIMUTE, NATIVE VILLAGE OF",215569.52,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,215569.52,,,,,
NAQSRAGMIUT TRIBAL COUNCIL,945698.39,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,927119.7,,,,,
NATIVE VILLAGE OF AKHIOK,203047.76,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,203047.76,,,,,
NATIVE VILLAGE OF ALEKNAGIK,652039.28,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,652039.28,,,,,
NATIVE VILLAGE OF AMBLER,772610.58,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,772610.58,,,,,
NATIVE VILLAGE OF ATQASUK,747309.39,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,0.0,,,,,
NATIVE VILLAGE OF BELKOFSKI,221911.19,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,211434.97,,,,,
NATIVE VILLAGE OF BREVIG MISSION,1450795.31,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1407566.1,,,,,
NATIVE VILLAGE OF BUCKLAND,1468299.45,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1468299.45,,,,,
NATIVE VILLAGE OF CHENEGA,410372.54,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,405267.68,,,,,
NATIVE VILLAGE OF CHITINA,454550.98,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,448704.7601,,,,,
NATIVE VILLAGE OF COUNCIL,397743.34,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,397743.34,,,,,
NATIVE VILLAGE OF DIOMEDE,498211.97,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,498211.97,,,,,
NATIVE VILLAGE OF EAGLE,207377.58,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,207377.58,,,,,
NATIVE VILLAGE OF EKUK,215890.33,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,215890.33,,,,,
NATIVE VILLAGE OF EKWOK,454477.37,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,454477.37,,,,,
NATIVE VILLAGE OF ELIM,1375438.24,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1375438.24,,,,,
NATIVE VILLAGE OF EYAK,3050501.59,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,3050501.59,,,,,
NATIVE VILLAGE OF FORT YUKON,1949811.35,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1949811.35,,,,,
NATIVE VILLAGE OF GAKONA,169408.41,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,114991.9,,,,,
"NATIVE VILLAGE OF GEORGETOWN, THE",235240.23,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,233719.77,,,,,
NATIVE VILLAGE OF GOODNEWS BAY,982324.36,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,816737.19,,,,,
NATIVE VILLAGE OF HAMILTON,192380.21,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,176776.21,,,,,
NATIVE VILLAGE OF KARLUK; KARLUK IRA TRIBAL COUNCIL,230189.22,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,230189.22,,,,,
NATIVE VILLAGE OF KIPNUK,2519258.91,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2455979.85,,,,,
NATIVE VILLAGE OF KLUTI-KAAH,663836.46,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,633280.73,,,,,
NATIVE VILLAGE OF KOBUK,524445.87,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,0.0,,,,,
NATIVE VILLAGE OF KOTZEBUE,7909531.95,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,7909531.95,,,,,
NATIVE VILLAGE OF KOYUK,1119131.99,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1067273.23,,,,,
NATIVE VILLAGE OF MARY'S IGLOO,437211.11,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,437143.6301,,,,,
NATIVE VILLAGE OF MEKORYUK,739097.59,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,739097.59,,,,,
NATIVE VILLAGE OF MINTO,740597.47,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,740597.4701,,,,,
NATIVE VILLAGE OF NAPAKIAK,1376983.01,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1376922.64,,,,,
NATIVE VILLAGE OF NAPASKIAK,1583367.74,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1552637.82,,,,,
NATIVE VILLAGE OF NIGHTMUTE,1021309.73,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,999142.7301,,,,,
NATIVE VILLAGE OF NUIQSUT,1274712.84,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,88085.7,,,,,
NATIVE VILLAGE OF NUNAM IQUA,691473.64,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,691473.64,,,,,
NATIVE VILLAGE OF OUZINKIE,532438.02,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,532438.02,,,,,
NATIVE VILLAGE OF PILOT POINT,250151.41,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,249968.39,,,,,
NATIVE VILLAGE OF PITKA'S POINT,465223.17,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,465223.17,,,,,
NATIVE VILLAGE OF PORT GRAHAM,606836.83,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,606836.83,,,,,
NATIVE VILLAGE OF PORT HEIDEN,515781.83,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,515781.83,,,,,
NATIVE VILLAGE OF PORT LIONS,473339.9,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,473339.9,,,,,
NATIVE VILLAGE OF SAINT MICHAEL,1363995.37,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1117679.79,,,,,
NATIVE VILLAGE OF SAVOONGA,2376568.06,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2298419.15,,,,,
NATIVE VILLAGE OF SELAWIK,2568863.45,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,438550.0,,,,,
NATIVE VILLAGE OF SHAKTOOLIK,925898.65,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,925898.65,,,,,
NATIVE VILLAGE OF SHISHMAREF,2005482.54,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,0.0,,,,,
NATIVE VILLAGE OF SHUNGNAK,936814.9,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,936814.9,,,,,
NATIVE VILLAGE OF SOUTH NAKNEK,260256.58,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,0.0,,,,,
NATIVE VILLAGE OF STEVENS,238895.23,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,0.0,,,,,
NATIVE VILLAGE OF TANACROSS,617261.79,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,617261.79,,,,,
"NATIVE VILLAGE OF TANANA, THE",1800851.23,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1800851.23,,,,,
NATIVE VILLAGE OF TATITLEK,275806.87,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,274884.85,,,,,
NATIVE VILLAGE OF TAZLINA,452240.45,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,375000.0,,,,,
NATIVE VILLAGE OF TELLER,850708.76,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,683413.0,,,,,
NATIVE VILLAGE OF TETLIN,513365.75,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,513365.75,,,,,
NATIVE VILLAGE OF TUNTUTULIAK,1516693.17,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1462027.72,,,,,
NATIVE VILLAGE OF TYONEK,758159.9,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,758159.9,,,,,
NATIVE VILLAGE OF UNALAKLEET,2063800.35,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2063800.35,,,,,
NATIVE VILLAGE OF WALES,518023.3,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,416001.79,,,,,
NATIVE VILLAGE OF WHITE MOUNTAIN,651528.52,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,651528.52,,,,,
NATIVE VILLAGE POINT HOPE,2348063.69,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2295617.85,,,,,
NATIVE VLG TNNAK TUNUNAK NATIV,1314542.97,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1314542.97,,,,,
"NATIVES OF KODIAK, INCORPORATED",3755613.17,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,3755613.17,,,,,
NENANA NATIVE ASSOCIATION,1012700.06,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,514070.91,,,,,
NEW KOLIGANEK VILLAGE COUNCIL,850046.77,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,850046.77,,,,,
NEWHALEN VILLAGE,557878.92,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,557878.92,,,,,
NEWTOK VILLAGE,1423391.78,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1414091.69,,,,,
NIKOLAI VILLAGE,319313.57,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,319313.57,,,,,
"NINILCHIK NATIVES ASSOCIATION, INC.",272484.54,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,272484.54,,,,,
NINILCHIK VILLAGE,3876474.22,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,3876474.22,,,,,
NOME ESKIMO COMMUNITY,5389400.16,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,5389400.16,,,,,
NONDALTON VILLAGE,470902.22,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,470902.22,,,,,
NOORVIK NATIVE COMMUNITY,2223530.62,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2223530.62,,,,,
NORTHWAY NATIVES INCORPORATED,150855.64,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,147724.49,,,,,
NORTHWAY VILLAGE,1065020.3,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,1065020.3,,,,,
NULATO VILLAGE,933061.38,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,933061.38,,,,,
NUNAKAUYARMIUT TRIBE,2305940.8,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,2305940.8,,,,,
"OHOGAMIUT, VILLAGE OF",382948.73,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,0.0,,,,,
ORGANIZED VILLAGE OF GRAYLING,632734.42,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,,,,,,,,632734.42,,,,,
