State,Prime recipient,Prime recipient amount,Number of sub-recipients,Sub-award amount
WA,SPOKANE TRIBE OF THE SPOKANE RESERVATION,25225075.64,24,24596121.790166497
OK,SAC & FOX NATION,25106988.18,31,25106988.180222154
OR,CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVATION,24960681.42,18,24960464.260056775
AK,CHUGACH ALASKA CORPORATION,24714318.36,20,23714598.900515094
OK,UNITED KEETOOWAH CHEROKEE COUNCIL,24669552.44,19,21378322.810176205
SD,SISSETON-WAHPETON OYATE,24617671.65,28,24617671.65021911
NM,MESCALERO APACHE TRIBE,24168417.74,13,22629420.740059666
WA,QUINAULT INDIAN NATION,23908939.97,1,23908939.97
ID,SHOSHONE-BANNOCK TRIBES OF THE FORT HALL RESERVATION OF,23709683.96,20,23709683.960087415
CA,AGUA CALIENTE BAND OF CAHUILLA INDIANS,23691086.58,14,23691086.58003522
OK,KIOWA TRIBE OF OKLAHOMA,22586665.76,18,22586665.7601434
NM,PUEBLO OF LAGUNA,22468235.78,9,22468235.780108944
MI,GRAND TRAVERSE BAND OF OTTAWA AND CHIPPEWA INDIANS,21959749.32,15,21959749.320000004
SC,CATAWBA INDIAN NATION OF SOUTH CAROLINA THE,21856269.96,20,21856269.960051812
CA,QUECHAN INDIAN TRIBE,21539159.78,26,21275519.110054113
CA,BARONA BAND OF MISSION INDIANS,21140067.32,9,21140067.32004816
WI,MENOMINEE INDIAN TRIBE OF WISCONSIN,21002181.95,26,20810541.36038998
NV,WALKER RIVER PAIUTE TRIBE,20924030.33,5,13054744.380060822
MT,NORTHERN CHEYENNE TRIBE,20361181.5,32,20361155.560497493
OK,DELAWARE TRIBE OF INDIANS,20353498.9,8,20353498.900063004
NE,WINNEBAGO TRIBE OF NEBRASKA,20214852.36,35,20214852.360185504
OR,CONFEDERATED TRIBES OF WARM SPRINGS RESERVATION OF OREG,20108834.82,12,19799240.01018935
CA,FEDERATED INDIANS OF GRATON RANCHERIA,19932944.9,12,19932944.900018092
MT,"CHIPPEWA CREE TRIBE OF THE ROCKY BOY RESERVATION, THE",19333069.8,12,19333069.00046835
AK,AFOGNAK NATIVE CORPORATION,19279459.07,26,19279459.07033069
MI,NOTTAWASEPPI HURON BAND OF THE POTAWATOMI,19081469.48,2,19081469.48
NM,JICARILLA APACHE NATION,18909242.5,34,18909242.500759557
ND,SPIRIT LAKE TRIBE,18895157.3,25,18895157.30033575
CA,PICAYUNE RANCHERIA OF THE CHUKCHANSI INDIANS,18886426.55,3,18886426.55
OK,"SEMINOLE NATION OF OKLAHOMA, THE",18825715.39,2,18825715.39
CA,PALA BAND OF MISSION INDIANS,18445571.61,2,18445571.61
UT,UTE INDIAN TRIBE,17971303.53,2,17971303.53008432
NV,PYRAMID LAKE PAIUTE TRIBE,17481090.69,28,17262198.120079543
CO,SOUTHERN UTE INDIAN TRIBE,17267159.88,1,17267159.88
OR,COW CREEK BAND OF UMPQUA TRIBE OF INDIANS,17255730.37,10,17255730.370111592
AK,BRISTOL BAY NATIVE CORPORATION,16974672.42,9,16890843.21016144
NM,PUEBLO OF ACOMA (INC),16758082.42,18,16758082.420172269
WI,LAC COURTE OREILLES BAND OF LAKE SUPERIOR CHIPPEWA INDI,16718860.29,19,16718860.29035039
ID,NEZ PERCE TRIBE,16566857.23,1,16566857.23
WA,SUQUAMISH INDIAN TRIBE OF THE PORT MADISON RESERVATION,16331152.5,6,14815298.08
CA,TULE RIVER INDIAN TRIBAL COUNCIL,15884233.76,1,15334260.0
LA,COUSHATTA TRIBE OF LOUISIANA,15759384.52,13,15759384.520308016
CA,YOCHA DEHE WINTUN NATION,15436645.02,1,15436645.02
AZ,COLORADO RIVER INDIAN TRIBE,15364177.11,31,15364177.110066826
CA,SYCUAN BAND OF THE KUMEYAAY NATION,15319176.16,9,15319176.16007059
CA,NORTHFORK RANCHERIA OF MONO INDIANS,15316268.42,8,15316268.42013783
CA,SANTA YNEZ BAND MISSION INDIANS,15295587.56,4,15295587.559999999
WA,NISQUALLY INDIAN TRIBE,15248697.78,3,15141084.420097992
AZ,AK-CHIN INDIAN COMMUNITY,15166881.78,1,15166881.78
WA,CONFEDERATED TRIBES OF THE CHEHALIS RESERVATION,15138731.57,14,15138731.570058942
AK,KNIK TRIBE,15129672.5,26,15129672.500181157
OK,OTOE-MISSOURIA TRIBE,15080215.43,1,12068574.209999999
NV,SHOSHONE-PAIUTE TRIBES,14978125.7,22,14978125.700024737
AK,BERING STRAITS NATIVE CORPORATION,14970648.07,4,14970648.070026122
NM,SANTO DOMINGO PUEBLO,14717112.61,20,14717112.610135548
WA,SQUAXIN ISLAND TRIBE,14678449.91,5,13902509.21
OK,MIAMI TRIBE OF OKLAHOMA,14631961.81,11,14596565.740080616
WI,LAC DU FLAMBEAU BAND OF LAKE SUPERIOR CHIPPEWA INDIANS,14508628.77,4,14508628.77
AK,ORUTSARARMIUT TRADITIONAL NATIVE COUNCIL,14458553.81,26,14458553.81010915
MT,FORT BELKNAP INDIAN COMMUNITY,14424752.83,11,14424752.830018297
CA,HOOPA VALLEY TRIBAL COUNCIL,14412272.99,13,14412272.990114767
MI,LITTLE TRAVERSE BAY BANDS OF ODAWA INDIANS,14248014.06,4,14248014.060083909
NM,PUEBLO OF SAN FELIPE,14107403.28,14,14107403.28
CA,PIT RIVER TRIBAL COUNCIL,14048258.26,16,12994151.590267299
OK,KAW NATION,14018862.01,24,14010476.240079693
