prime_recipient,sub_recipient,address,county,number,type,sub_amount,spent,tbs
"FINANCE, ALABAMA DEPT OF",ANHA - EDUCATION FOUNDATION,4156 Carmichael Rd Montgomery AL 36106-2866,AL-MONTGOMERY,59,GRANT,80735117,80735117,0
"FINANCE, ALABAMA DEPT OF","ANNISTON, CITY OF",1128 Gurnee Ave Anniston AL 36201-4565,AL-CALHOUN,119,GRANT,985208,985208,0
"FINANCE, ALABAMA DEPT OF","ARAB, CITY OF",740 N Main St Arab AL 35016-1020,AL-MARSHALL,20,GRANT,416053.99,416053.99,0
"FINANCE, ALABAMA DEPT OF","ARC OF CENTRAL ALABAMA, INC., THE",6001 Crestwood Blvd Birmingham AL 35212-4203,AL-JEFFERSON,115,GRANT,705947.59,705947.59,0
"FINANCE, ALABAMA DEPT OF","ARC OF MADISON COUNTY, THE",1100 Washington St NW Huntsville AL 35801-4678,AL-MADISON,110,GRANT,372503.23,372503.23,0
"FINANCE, ALABAMA DEPT OF",ARCHBISHOP OF MOBILE,400 Government St Mobile AL 36602-2332,AL-MOBILE,168,GRANT,717150,717150,0
"FINANCE, ALABAMA DEPT OF","ASHFORD, CITY OF",525 Broadway Ave Ashford AL 36312-4367,AL-HOUSTON,404,GRANT,105474.28,105474.28,0
"FINANCE, ALABAMA DEPT OF",ASK TELEMARKETING INC,5815 Carmichael Rd Montgomery AL 36117-2329,AL-MONTGOMERY,,DIRECT,1252890.39,1252890.39,0
"FINANCE, ALABAMA DEPT OF",AT&T MOBILITY,PO BOX 6463 Carol Stream IL 60197-6463,IL-DUPAGE,4,CONTRACT,5830873.2,5830873.2,0
"FINANCE, ALABAMA DEPT OF",ATHENS STATE UNIVERSITY,300 N Beaty St Athens AL 35611-1902,AL-LIMESTONE,161,GRANT,1239611.75,1239611.75,0
"FINANCE, ALABAMA DEPT OF","ATHENS, CITY OF",200 E Hobbs St Athens AL 35611-2108,AL-LIMESTONE,120,GRANT,343546.82,343546.82,0
"FINANCE, ALABAMA DEPT OF","ATLANTIC DIVING SUPPLY, INC.",621 LYNNHAVEN PKWY STE 160 VIRGINIA BEACH VA 23452-7383,VA-VIRGINIA BEACH,,DIRECT,1513800,1513800,0
"FINANCE, ALABAMA DEPT OF",ATTALLA CITY SCHOOL DISTRICT,101 Case Ave SE Attalla AL 35954-3404,AL-ETOWAH,66,GRANT,465837.14,465837.14,0
"FINANCE, ALABAMA DEPT OF","ATTALLA, CITY OF",612 4th St NW Attalla AL 35954-2033,AL-ETOWAH,121,GRANT,272196,272196,0
"FINANCE, ALABAMA DEPT OF",AUBURN CITY BOARD OF EDUCATION,855 E Samford Ave Auburn AL 36830-6146,AL-LEE,65,GRANT,1813604,1813604,0
"FINANCE, ALABAMA DEPT OF",AUBURN UNIVERSITY CONTRACTS AND GRANTS,208 M White Smith Hall Auburn AL 36849-0001,AL-LEE,162,GRANT,11884200.85,11884200.85,0
"FINANCE, ALABAMA DEPT OF","AUBURN, CITY OF",144 Tichenor Ave STE 1 Auburn AL 36830-4784,AL-LEE,122,GRANT,991010.36,991010.36,0
"FINANCE, ALABAMA DEPT OF",AUTAUGA COUNTY BOARD OF EDUCATION,153 W 4th St Prattville AL 36067-3011,AL-AUTAUGA,83,GRANT,1777963.34,1777963.34,0
"FINANCE, ALABAMA DEPT OF","AUTAUGA, COUNTY OF",135 N Court St Ste B Prattville AL 36067-3001,AL-AUTAUGA,471,GRANT,962393.45,962393.45,0
"FINANCE, ALABAMA DEPT OF",AVALON GLASS INC,5812 Stewart St Milton FL 32570-3646,FL-SANTA ROSA,,DIRECT,105453.78,105453.78,0
"FINANCE, ALABAMA DEPT OF","B & J CATFISH FARM, INC",PO BOX 327 Newbern AL 36765-0327,AL-HALE,175,GRANT,100355.81,100355.81,0
"FINANCE, ALABAMA DEPT OF",BALDWIN COUNTY BOARD OF EDUCATION,2600A Hand Ave Bay Minette AL 36507-4180,AL-BALDWIN,277,GRANT,5589981,5589981,0
"FINANCE, ALABAMA DEPT OF",BALDWIN COUNTY SHERIFF'S OFFICE,310 HAND AVE BAY MINETTE AL 36507-4500,AL-BALDWIN,,DIRECT,354760,354760,0
"FINANCE, ALABAMA DEPT OF","BALDWIN, COUNTY OF",312 Courthouse Sq Ste 11 Bay Minette AL 36507-4809,AL-BALDWIN,472,GRANT,2179640.84,2179640.84,0
"FINANCE, ALABAMA DEPT OF",BANKS INDUSTRIES INC,235 W Park Loop NW Huntsville AL 35806-1739,AL-MADISON,,DIRECT,303200,303200,0
"FINANCE, ALABAMA DEPT OF","BARBOUR, COUNTY OF",525 School St Eufaula AL 36027-2512,AL-BARBOUR,473,GRANT,824791.77,824791.77,0
"FINANCE, ALABAMA DEPT OF","BAT SERVICES, LLC",5479 Skyland Blvd E STE 1B Cottondale AL 35453-1963,AL-TUSCALOOSA,,DIRECT,411753.2,411753.2,0
"FINANCE, ALABAMA DEPT OF","BAY MINETTE, CITY OF",301 Dolive St Bay Minette AL 36507-3228,AL-BALDWIN,18,GRANT,466567,466567,0
"FINANCE, ALABAMA DEPT OF",BELFOR USA GROUP INC.,185 OAKLAND AVE STE 150 BIRMINGHAM MI 48009-3430,MI-OAKLAND,,DIRECT,366272.94,366272.94,0
"FINANCE, ALABAMA DEPT OF","BEST GLASS COMPANY, INC.",215 N Bainbridge St Montgomery AL 36104-3609,AL-MONTGOMERY,,DIRECT,50296,50296,0
"FINANCE, ALABAMA DEPT OF","BIBB, COUNTY OF",157 SW Davidson Dr Ste 14 Centreville AL 35042-2273,AL-BIBB,474,GRANT,535026.54,535026.54,0
"FINANCE, ALABAMA DEPT OF",BIG COMMUNICATIONS,2121 2nd Ave N STE 100 Birmingham AL 35203-3730,AL-JEFFERSON,,DIRECT,57204.00005,57204,0
"FINANCE, ALABAMA DEPT OF",BIG CREEK FARMS,14353 Cat Deakle Rd Grand Bay AL 36541-3309,AL-MOBILE,184,GRANT,62339.03,62339.03,0
"FINANCE, ALABAMA DEPT OF",BIG MARKETING & COMMUNICATIONS INC,2121 2nd Ave N Ste 100 Birmingham AL 35203-3731,AL-JEFFERSON,,DIRECT,94819.99,94819.99,0
"FINANCE, ALABAMA DEPT OF",BILL KYSER,1545 Rosemary Rd Greensboro AL 36744-5431,AL-HALE,185,GRANT,120232,120232,0
"FINANCE, ALABAMA DEPT OF","BIOLOGIQUE SOLUTIONS, LLC",118 W Adams St Jacksonville FL 32202-3800,FL-DUVAL,,DIRECT,1001196,1001196,0
"FINANCE, ALABAMA DEPT OF",BIOQUELL INC,"702 ELECTRONIC DR, STE 200 HORSHAM PA 19044-2229",PA-MONTGOMERY,,DIRECT,214020,214020,0
"FINANCE, ALABAMA DEPT OF",BIRMINGHAM-SOUTHERN COLLEGE,900 Arkadelphia Rd Birmingham AL 35254-null,AL-JEFFERSON,494,GRANT,1592438.33,1592438.33,0
"FINANCE, ALABAMA DEPT OF",BLOUNT COUNTY COMMISSION,220 2nd Ave E Ste 106 Oneonta AL 35121-1702,AL-BLOUNT,,DIRECT,63140.00004,63140,0
"FINANCE, ALABAMA DEPT OF",BLOUNT COUNTY COMMISSION,220 2nd Ave E Ste 106 Oneonta AL 35121-1702,AL-BLOUNT,238,GRANT,1737357,1737357,0
"FINANCE, ALABAMA DEPT OF","BLOUNTSVILLE, CITY OF",10017 Lee St W Blountsville AL 35031-3127,AL-BLOUNT,45,GRANT,64532.15,64532.15,0
"FINANCE, ALABAMA DEPT OF",BLUE CROSS & BLUE SHIELD OF ALABAMA,450 RIVERCHASE PARKWAY E BIRMINGHAM AL 35244-2858,AL-SHELBY,,DIRECT,38975597.09,38975597.09,0
"FINANCE, ALABAMA DEPT OF","BOARD OF EDUCATION, CITY OF BIRMINGHAM, ALABAMA",2015 Park Pl Birmingham AL 35203-2705,AL-JEFFERSON,82,GRANT,5143422,5143422,0
"FINANCE, ALABAMA DEPT OF","BOARD OF EDUCATION, TROY CITY",358 Elba Hwy Troy AL 36079-5046,AL-PIKE,104,GRANT,521019,521019,0
"FINANCE, ALABAMA DEPT OF",BOARD OF SCHOOL COMMISSIONERS OF MOBILE COUNTY,1 Magnum Pass Mobile AL 36618-3412,AL-MOBILE,76,GRANT,5297690.32,5297690.32,0
"FINANCE, ALABAMA DEPT OF",BOAZ CITY SCHOOL DISTRICT,126 Newt Parker Dr Boaz AL 35957-1263,AL-MARSHALL,84,GRANT,630300.53,630300.53,0
"FINANCE, ALABAMA DEPT OF","BOAZ, CITY OF",112 N Broad St Boaz AL 35957-1665,AL-MARSHALL,1,GRANT,483089.18,483089.18,0
"FINANCE, ALABAMA DEPT OF","BODY ARMOR OUTLET, LLC",26 ERMER ROAD SALEM NH 03079-1231,NH-ROCKINGHAM,,DIRECT,282694.6,282694.6,0
"FINANCE, ALABAMA DEPT OF",BOOSTERS INC,PO BOX 70156 Montgomery AL 36107-0156,AL-MONTGOMERY,,DIRECT,305007.42,305007.42,0
"FINANCE, ALABAMA DEPT OF","BOOSTR, LLC",PO BOX 20529 Tuscaloosa AL 35402-0529,AL-TUSCALOOSA,,DIRECT,927951,927951,0
"FINANCE, ALABAMA DEPT OF","BOWEN-WILSON, INC.",5939 TROY HWY MONTGOMERY AL 36116-6552,AL-MONTGOMERY,,DIRECT,186556.23,186556.23,0
"FINANCE, ALABAMA DEPT OF",BRAGG FARMING COMPANY,1180 Grimwood Rd Toney AL 35773-8739,AL-MADISON,186,GRANT,311735.12,311735.12,0
"FINANCE, ALABAMA DEPT OF",BRANDON O JONES,2335 County Road 2 Gallion AL 36742-4637,AL-HALE,187,GRANT,180899,180899,0
"FINANCE, ALABAMA DEPT OF","BRENT, CITY OF",PO BOX 220 Brent AL 35034-0220,AL-BIBB,406,GRANT,50118.53,50118.53,0
"FINANCE, ALABAMA DEPT OF",BROWN FARMS,384 Walnut Grove Rd New Market AL 35761-7511,AL-MADISON,188,GRANT,63743.77,63743.77,0
"FINANCE, ALABAMA DEPT OF","BRUNDIDGE, CITY OF",146 S Main St Brundidge AL 36010-1809,AL-PIKE,2,GRANT,114786.23,114786.23,0
"FINANCE, ALABAMA DEPT OF",BUCCANEER SERVICES COMPANY,2400 Cantrell Rd Ste 100 Little Rock AR 72202-2133,AR-PULASKI,,DIRECT,570954.77,570954.77,0
"FINANCE, ALABAMA DEPT OF",BUSINESS INFORMATION SYSTEMS INC,1350 NE 56TH ST STE 300 FORT LAUDERDALE FL 33334-6142,FL-BROWARD,,DIRECT,190000,190000,0
"FINANCE, ALABAMA DEPT OF",BUTLER COUNTY BOARD OF EDUCATION,211 School Highlands Rd Greenville AL 36037-3213,AL-BUTLER,284,GRANT,814475,814475,0
"FINANCE, ALABAMA DEPT OF","BUTLER, COUNTY OF",202 Patsaliga St Greenville AL 36037-2747,AL-BUTLER,374,GRANT,190670.68,190670.68,0
"FINANCE, ALABAMA DEPT OF","CABLE ONE, INC.",210 E Earll Dr Phoenix AZ 85012-2626,AZ-MARICOPA,5,CONTRACT,1044899.61,1044899.61,0
"FINANCE, ALABAMA DEPT OF","CALERA, CITY OF",7901 Highway 31 Calera AL 35040-6915,AL-SHELBY,124,GRANT,688210,688210,0
"FINANCE, ALABAMA DEPT OF",CALHOUN COUNTY SCHOOL DISTRICT,4400 Mcclellan Blvd Anniston AL 36206-2809,AL-CALHOUN,85,GRANT,1694229.64,1694229.64,0
"FINANCE, ALABAMA DEPT OF","CALHOUN, COUNTY OF",1702 NOBLE ST STE 103 ANNISTON AL 36201-3827,AL-CALHOUN,,DIRECT,632100,632100,0
"FINANCE, ALABAMA DEPT OF","CALHOUN, COUNTY OF",1702 Noble St Ste 103 Anniston AL 36201-3827,AL-CALHOUN,375,GRANT,1456840.53,1456840.53,0
"FINANCE, ALABAMA DEPT OF","CAMDEN, CITY OF",223A Claiborne St Camden AL 36726-1762,AL-WILCOX,125,GRANT,101559.3,101559.3,0
"FINANCE, ALABAMA DEPT OF","CAMP HILL, TOWN OF",PO BOX 100 Camp Hill AL 36850-0100,AL-TALLAPOOSA,455,GRANT,69845.9,69845.9,0
"FINANCE, ALABAMA DEPT OF",CAREFUSION 211 INC,22745 SAVI RANCH PKWY YORBA LINDA CA 92887-4668,CA-ORANGE,,DIRECT,6303036.78,6303036.78,0
"FINANCE, ALABAMA DEPT OF",CAROLINA CUSTOM MEATS LLC,12258 Je Mcdonald Farm Rd Andalusia AL 36420-9058,AL-COVINGTON,189,GRANT,50000.00006,50000,0
"FINANCE, ALABAMA DEPT OF","CARROLLTON, TOWN OF",PO BOX 169 Carrollton AL 35447-0169,AL-PICKENS,456,GRANT,69515,69515,0
"FINANCE, ALABAMA DEPT OF",CDW GOVERNMENT LLC,230 N MILWAUKEE AVE VERNON HILLS IL 60061-4304,IL-LAKE,,DIRECT,118526.72,118526.72,0
"FINANCE, ALABAMA DEPT OF",CELLCO PARTNERSHIP,1 Verizon Way Basking Ridge NJ 07920-1025,NJ-SOMERSET,27,CONTRACT,3074716.41,3074716.41,0
"FINANCE, ALABAMA DEPT OF",CELLCO PARTNERSHIP,ONE VERIZON WY BASKING RIDGE NJ 07920-1025,NJ-SOMERSET,,DIRECT,118714.36,118714.36,0
"FINANCE, ALABAMA DEPT OF",CENTER FOR THE DEVELOPMENTALLY DISABLED NORTH CENTRAL AL INC,PO BOX 2091 Decatur AL 35602-2091,AL-MORGAN,253,GRANT,223952.83,223952.83,0
"FINANCE, ALABAMA DEPT OF",CENTRAL ALABAMA ELECTRIC COOP,103 Jesse Samuel Hunt Blvd Prattville AL 36066-6777,AL-AUTAUGA,6,CONTRACT,55594.35,55594.35,0
"FINANCE, ALABAMA DEPT OF","CENTRAL PAPER COMPANY, INC.",140 W OXMOOR RD BIRMINGHAM AL 35209-6330,AL-JEFFERSON,,DIRECT,116582.26,116582.26,0
"FINANCE, ALABAMA DEPT OF",CEPHEID,904 CARIBBEAN DR SUNNYVALE CA 94089-1189,CA-SANTA CLARA,,DIRECT,365078.93,365078.93,0
"FINANCE, ALABAMA DEPT OF",CERTIFIED LABORATORIES,23261 Network Pl Chicago IL 60673-1232,IL-COOK,,DIRECT,934558.08,934558.08,0
"FINANCE, ALABAMA DEPT OF",CHAMBERS COUNTY,2 S Lafayette St Ste A Lafayette AL 36862-1747,AL-CHAMBERS,376,GRANT,230508.98,230508.98,0
"FINANCE, ALABAMA DEPT OF",CHARTER COMMUNICATIONS,PO BOX 742614 Cincinnati OH 45274-2614,OH-HAMILTON,7,CONTRACT,13640388.69,13640388.69,0
"FINANCE, ALABAMA DEPT OF",CHEROKEE COUNTY COMMISSION,260 CEDAR BLUFF ROAD CENTRE AL 35960-1443,AL-CHEROKEE,,DIRECT,108724,108724,0
"FINANCE, ALABAMA DEPT OF",CHEROKEE COUNTY COMMISSION,260 Cedar Bluff Rd Centre AL 35960-1428,AL-CHEROKEE,239,GRANT,874253.78,874253.78,0
"FINANCE, ALABAMA DEPT OF","CHICKASAW, CITY OF",224 N Craft Hwy Chickasaw AL 36611-1308,AL-MOBILE,410,GRANT,55031.68,55031.68,0
"FINANCE, ALABAMA DEPT OF","CHILDERSBURG, CITY OF",201 8th Ave SW Childersburg AL 35044-1623,AL-TALLADEGA,126,GRANT,240517.74,240517.74,0
"FINANCE, ALABAMA DEPT OF",CHILTON COUNTY BOARD OF EDUCATION,1705 Lay Dam Rd Clanton AL 35045-2032,AL-CHILTON,288,GRANT,1514794.02,1514794.02,0
"FINANCE, ALABAMA DEPT OF","CHILTON, COUNTY OF",500 2ND AVE N CLANTON AL 35045-3421,AL-CHILTON,,DIRECT,50260.00005,50260,0
"FINANCE, ALABAMA DEPT OF","CHILTON, COUNTY OF",500 2nd Ave N Clanton AL 35045-3421,AL-CHILTON,475,GRANT,252142.29,252142.29,0
"FINANCE, ALABAMA DEPT OF",CHRISTOPHER ALLAN BUTTS,814 Smith Rd Blountsville AL 35031-6914,AL-BLOUNT,190,GRANT,50000.00006,50000,0
"FINANCE, ALABAMA DEPT OF",CINTAS CORPORATION,6800 CINTAS BLVD CINCINNATI OH 45262,OH-HAMILTON,,DIRECT,70696.75,70696.75,0
"FINANCE, ALABAMA DEPT OF",CITY BOARD OF EDUCATION FOR THE CITY OF ALABASTER ALABAMA,10111 Highway 119 Alabaster AL 35007-9796,AL-SHELBY,270,GRANT,1291443,1291443,0
"FINANCE, ALABAMA DEPT OF",CITY OF ALEXANDER CITY,PO BOX 552 Alexander City AL 35011-0552,AL-TALLAPOOSA,499,GRANT,649816.36,649816.36,0
"FINANCE, ALABAMA DEPT OF",CITY OF ALICEVILLE,419 Memorial Pkwy NE Aliceville AL 35442-2704,AL-PICKENS,118,GRANT,82617.00004,82617,0
"FINANCE, ALABAMA DEPT OF",CITY OF ARGO,100 Blackjack Rd Trussville AL 35173-4180,AL-ST. CLAIR,403,GRANT,230252,230252,0
"FINANCE, ALABAMA DEPT OF",CITY OF ASHLAND,PO BOX 849 Ashland AL 36251-0849,AL-CLAY,405,GRANT,58317.15,58317.15,0
"FINANCE, ALABAMA DEPT OF",CITY OF ASHVILLE,PO BOX 70 Ashville AL 35953-0070,AL-ST. CLAIR,154,GRANT,60665.81,60665.81,0
"FINANCE, ALABAMA DEPT OF",CITY OF BREWTON,1010A Douglas Ave Brewton AL 36426-1560,AL-ESCAMBIA,123,GRANT,167548.91,167548.91,0
"FINANCE, ALABAMA DEPT OF",CITY OF BRIDGEPORT,PO BOX 86 Bridgeport AL 35740-0086,AL-JACKSON,407,GRANT,59664.25,59664.25,0
"FINANCE, ALABAMA DEPT OF",CITY OF CENTRE,401 E Main St Centre AL 35960-1522,AL-CHEROKEE,408,GRANT,82258.81,82258.81,0
"FINANCE, ALABAMA DEPT OF",CITY OF CHELSEA,PO BOX 111 Chelsea AL 35043-0111,AL-SHELBY,409,GRANT,413743.58,413743.58,0
"FINANCE, ALABAMA DEPT OF",CITY OF CLAYTON,45 Reed Ave Clayton AL 36016-5100,AL-BARBOUR,411,GRANT,72620.2,72620.2,0
"FINANCE, ALABAMA DEPT OF",CITY OF DECATUR,402 Lee St NE Decatur AL 35601-1928,AL-MORGAN,128,GRANT,880748.53,880748.53,0
"FINANCE, ALABAMA DEPT OF",CITY OF EUTAW,PO BOX 431 Eutaw AL 35462-0431,AL-GREENE,416,GRANT,85836.61,85836.61,0
"FINANCE, ALABAMA DEPT OF",CITY OF EVERGREEN,360 W Front St Evergreen AL 36401-2837,AL-CONECUH,417,GRANT,85858.48,85858.48,0
"FINANCE, ALABAMA DEPT OF",CITY OF FAIRHOPE,161 N Section St Fairhope AL 36532-2426,AL-BALDWIN,418,GRANT,414568.22,414568.22,0
"FINANCE, ALABAMA DEPT OF",CITY OF FOLEY,407 E Laurel Ave Foley AL 36535-2619,AL-BALDWIN,37,GRANT,887749.43,887749.43,0
