prime_recipient,sub_recipient,Location info,county,Award number,Award type,awards,Money spent to date,To be spent
GALENA VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1109166.24,,1109166.24
"GANA-A' YOO, LIMITED",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1983944.66,,1983944.66
"GOLDBELT, INCORPORATED",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,11122220.36,,11122220.36
GULKANA VILLAGE COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,492983.89,,492983.89
HAIDA CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,154547.52,,154547.52
HEALY LAKE VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,162145.17,,162145.17
HOLY CROSS TRIBE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,662367.88,,662367.88
HOONAH INDIAN ASSOCIATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1441313.2,,1441313.2
HUGHES VILLAGE COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2621060.4,,2621060.4
HUNA TOTEM CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1088232.21,,1088232.21
HUSLIA VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,971484.7201,,971484.72
HYDABURG COOPERATIVE ASSOCIATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1313794,,1313794
IGIUGIG VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,379867.25,,379867.25
"ILIAMNA, VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,266408.97,,266408.97
INUPIAT COMMUNITY OF THE ARCTIC SLOPE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,451520.03,,451520.03
IQFIJOUAQ COMPANY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,160113.88,,160113.88
K'OYITL'OTS'INA LIMITED,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1285336,,1285336
KAKE TRIBAL CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,268682.26,,268682.26
KENAITZE INDIAN TRIBE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,11412490.67,,11412490.67
KETCHIKAN INDIAN COMMUNITY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,7747969.15,,7747969.15
KIJIK CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,65800.00004,,65800
KIKIKTAGRUK INUPIAT CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2457587.37,,2457587.37
KING ISLAND NATIVE COMMUNITY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1322904.84,,1322904.84
"KIVALINA, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1344129.32,,1344129.32
KLAWOCK COOPERATIVE ASSOCIATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1229536.83,,1229536.83
KLAWOCK HEENYA CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,179646.5,,179646.5
KNIK TRIBE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,15129672.5,,15129672.5
KOKARMUIT CORP,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,159851.95,,159851.95
KOKHANOK VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,585367.33,,585367.33
"KONGIGANAK, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1820864.63,,1820864.63
"KONIAG, INC.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,6776696.84,,6776696.84
KOOTZNOOWOO INC,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,168625.53,,168625.53
"KOTLIK, VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2238693.52,,2238693.52
KOYUKUK NATIVE VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,373989.87,,373989.87
"KUITSARAK, INC.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,200750.78,,200750.78
"KUSKOKWIM CORPORATION, THE",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,820431.24,,820431.24
"KWINHAGAK, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2361709.81,,2361709.81
"LEISNOI, INCORPORATED",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,255690.5801,,255690.58
MANLEY VILLAGE COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,159354.64,,159354.64
MANOKOTAK VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1628159.72,,1628159.72
"MARSHALL, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1524696.41,,1524696.41
MASERCULIQ INCORPORATED,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,244060.4701,,244060.47
MENTASTA TRADITIONAL COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,147038.49,,147038.49
METLAKATLA INDIAN COMMUNITY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,6695162.81,,6695162.81
"MTNT, LTD.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,677675.35,,677675.35
NAKNEK NATIVE VILLAGE COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,284000.78,,284000.78
"NANA REGIONAL CORPORATION, INC.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,31874845,,31874845
"NAPAIMUTE, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,215569.52,,215569.52
NAQSRAGMIUT TRIBAL COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,927119.7,,927119.7
NATIVE VILLAGE OF AKHIOK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,203047.76,,203047.76
NATIVE VILLAGE OF ALEKNAGIK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,652039.28,,652039.28
NATIVE VILLAGE OF AMBLER,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,772610.58,,772610.58
NATIVE VILLAGE OF ATQASUK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,0,,0
NATIVE VILLAGE OF BELKOFSKI,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,211434.97,,211434.97
NATIVE VILLAGE OF BREVIG MISSION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1407566.1,,1407566.1
NATIVE VILLAGE OF BUCKLAND,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1468299.45,,1468299.45
NATIVE VILLAGE OF CHENEGA,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,405267.68,,405267.68
NATIVE VILLAGE OF CHITINA,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,448704.7601,,448704.76
NATIVE VILLAGE OF COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,397743.34,,397743.34
NATIVE VILLAGE OF DIOMEDE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,498211.97,,498211.97
NATIVE VILLAGE OF EAGLE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,207377.58,,207377.58
NATIVE VILLAGE OF EKUK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,215890.33,,215890.33
NATIVE VILLAGE OF EKWOK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,454477.37,,454477.37
NATIVE VILLAGE OF ELIM,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1375438.24,,1375438.24
NATIVE VILLAGE OF EYAK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,3050501.59,,3050501.59
NATIVE VILLAGE OF FORT YUKON,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1949811.35,,1949811.35
NATIVE VILLAGE OF GAKONA,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,114991.9,,114991.9
"NATIVE VILLAGE OF GEORGETOWN, THE",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,233719.77,,233719.77
NATIVE VILLAGE OF GOODNEWS BAY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,816737.19,,816737.19
NATIVE VILLAGE OF HAMILTON,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,176776.21,,176776.21
NATIVE VILLAGE OF KARLUK; KARLUK IRA TRIBAL COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,230189.22,,230189.22
NATIVE VILLAGE OF KIPNUK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2455979.85,,2455979.85
NATIVE VILLAGE OF KLUTI-KAAH,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,633280.73,,633280.73
NATIVE VILLAGE OF KOBUK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,0,,0
NATIVE VILLAGE OF KOTZEBUE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,7909531.95,,7909531.95
NATIVE VILLAGE OF KOYUK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1067273.23,,1067273.23
NATIVE VILLAGE OF MARY'S IGLOO,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,437143.6301,,437143.63
NATIVE VILLAGE OF MEKORYUK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,739097.59,,739097.59
NATIVE VILLAGE OF MINTO,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,740597.4701,,740597.47
NATIVE VILLAGE OF NAPAKIAK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1376922.64,,1376922.64
NATIVE VILLAGE OF NAPASKIAK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1552637.82,,1552637.82
NATIVE VILLAGE OF NIGHTMUTE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,999142.7301,,999142.73
NATIVE VILLAGE OF NUIQSUT,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,88085.7,,88085.7
NATIVE VILLAGE OF NUNAM IQUA,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,691473.64,,691473.64
NATIVE VILLAGE OF OUZINKIE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,532438.02,,532438.02
NATIVE VILLAGE OF PILOT POINT,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,249968.39,,249968.39
NATIVE VILLAGE OF PITKA'S POINT,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,465223.17,,465223.17
NATIVE VILLAGE OF PORT GRAHAM,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,606836.83,,606836.83
NATIVE VILLAGE OF PORT HEIDEN,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,515781.83,,515781.83
NATIVE VILLAGE OF PORT LIONS,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,473339.9,,473339.9
NATIVE VILLAGE OF SAINT MICHAEL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1117679.79,,1117679.79
NATIVE VILLAGE OF SAVOONGA,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2298419.15,,2298419.15
NATIVE VILLAGE OF SELAWIK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,438550,,438550
NATIVE VILLAGE OF SHAKTOOLIK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,925898.65,,925898.65
NATIVE VILLAGE OF SHISHMAREF,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,0,,0
NATIVE VILLAGE OF SHUNGNAK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,936814.9,,936814.9
NATIVE VILLAGE OF SOUTH NAKNEK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,0,,0
NATIVE VILLAGE OF STEVENS,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,0,,0
NATIVE VILLAGE OF TANACROSS,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,617261.79,,617261.79
"NATIVE VILLAGE OF TANANA, THE",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1800851.23,,1800851.23
NATIVE VILLAGE OF TATITLEK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,274884.85,,274884.85
NATIVE VILLAGE OF TAZLINA,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,375000,,375000
NATIVE VILLAGE OF TELLER,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,683413,,683413
NATIVE VILLAGE OF TETLIN,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,513365.75,,513365.75
NATIVE VILLAGE OF TUNTUTULIAK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1462027.72,,1462027.72
NATIVE VILLAGE OF TYONEK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,758159.9,,758159.9
NATIVE VILLAGE OF UNALAKLEET,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2063800.35,,2063800.35
NATIVE VILLAGE OF WALES,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,416001.79,,416001.79
NATIVE VILLAGE OF WHITE MOUNTAIN,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,651528.52,,651528.52
NATIVE VILLAGE POINT HOPE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2295617.85,,2295617.85
NATIVE VLG TNNAK TUNUNAK NATIV,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1314542.97,,1314542.97
"NATIVES OF KODIAK, INCORPORATED",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,3755613.17,,3755613.17
NENANA NATIVE ASSOCIATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,514070.91,,514070.91
NEW KOLIGANEK VILLAGE COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,850046.77,,850046.77
NEWHALEN VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,557878.92,,557878.92
NEWTOK VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1414091.69,,1414091.69
NIKOLAI VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,319313.57,,319313.57
"NINILCHIK NATIVES ASSOCIATION, INC.",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,272484.54,,272484.54
NINILCHIK VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,3876474.22,,3876474.22
NOME ESKIMO COMMUNITY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,5389400.16,,5389400.16
NONDALTON VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,470902.22,,470902.22
NOORVIK NATIVE COMMUNITY,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2223530.62,,2223530.62
NORTHWAY NATIVES INCORPORATED,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,147724.49,,147724.49
NORTHWAY VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1065020.3,,1065020.3
NULATO VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,933061.38,,933061.38
NUNAKAUYARMIUT TRIBE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2305940.8,,2305940.8
"OHOGAMIUT, VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,0,,0
ORGANIZED VILLAGE OF GRAYLING,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,632734.42,,632734.42
ORGANIZED VILLAGE OF KAKE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,521496.1101,,521496.11
ORGANIZED VILLAGE OF KASAAN,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,452464.39,,452464.39
ORGANIZED VILLAGE OF KWETHLUK,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2687749.31,,2687749.31
ORGANIZED VILLAGE OF SAXMAN,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,788402.1701,,788402.17
ORUTSARARMIUT TRADITIONAL NATIVE COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,14458553.81,,14458553.81
OSCARVILLE TRADITIONAL COUNCIL,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,180232.74,,180232.74
OUNALASHKA CORPORATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,361500.18,,361500.18
"PAIMIUT, NATIVE VILLAGE OF",NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,201985.13,,201985.13
PAULOFF HARBOR VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,151192.76,,151192.76
PETERSBURG INDIAN ASSOCIATION,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,1168637.04,,1168637.04
PILOT STATION TRADITIONAL VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,2173481.53,,2173481.53
PLATINUM TRADITIONAL VILLAGE,NOT YET AVAILABLE FOR PUBLIC DISPLAY,,,,,18624.05,,18624.05
"PUBLIC SAFETY, ALASKA DEPT OF",203 KOMBUCHA,1150 S Colony Way Ste 3 PMB PMB562 Palmer AK 99645-6972,AK-MATANUSKA-SUSITNA,202360,GRANT,51481.06,51481.06,0
"PUBLIC SAFETY, ALASKA DEPT OF",2H INC.,3317 Jerde Cir Anchorage AK 99504-3860,AK-ANCHORAGE,202462,GRANT,63016.59,63016.59,0
"PUBLIC SAFETY, ALASKA DEPT OF",3J AND P CORP,919 E Dimond Blvd Anchorage AK 99515-2007,AK-ANCHORAGE,202376,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",907 ALEHOUSE LLC,8001 Old Seward Hwy Anchorage AK 99518-3348,AK-ANCHORAGE,200641,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",907 ICE LLC,PO BOX 876194 Wasilla AK 99687-6194,AK-MATANUSKA-SUSITNA,201542,GRANT,85250.15,85250.15,0
"PUBLIC SAFETY, ALASKA DEPT OF",A POOLE INC.,PO BOX 1026 Cordova AK 99574-1026,AK-VALDEZ CORDOVA,204282,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",A T PUBLISHING INC,1720 Abbott Rd Anchorage AK 99507-3443,AK-ANCHORAGE,202087,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",A TOUCH OF HOME CHILDCARE & LEARNING CENTER LLC,260 E Nelson Ave Wasilla AK 99654-6460,AK-MATANUSKA-SUSITNA,,DIRECT,52000.00005,52000,0
"PUBLIC SAFETY, ALASKA DEPT OF","AA. MILLER FISHERIES, LLC",244 Bighill Rd Naselle WA 98638-8550,WA-WAHKIAKUM,200839,GRANT,75415.2,75415.2,0
"PUBLIC SAFETY, ALASKA DEPT OF",AAUR LLC,1105 E Klatt Rd Anchorage AK 99515-3542,AK-ANCHORAGE,201331,GRANT,65292,65292,0
"PUBLIC SAFETY, ALASKA DEPT OF",ABOU EID INC,PO BOX 26 Red Devil AK 99656-0026,AK-BETHEL,200399,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ABOVE ALASKA AVIATION, LLC",PO BOX 821 Talkeetna AK 99676-0821,AK-MATANUSKA-SUSITNA,202665,GRANT,73645.49,73645.49,0
"PUBLIC SAFETY, ALASKA DEPT OF",ACCESS SEAFOOD LLC,865 Peterson Rd Burlington WA 98233-2665,WA-SKAGIT,203156,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","ACUPUNCTURE & WELLNESS OF CORDOVA, LLC",PO BOX 2196 Cordova AK 99574-2196,AK-VALDEZ CORDOVA,200042,GRANT,91578.32,91578.32,0
"PUBLIC SAFETY, ALASKA DEPT OF","ADAK, CITY OF",100 Mechanical St Ste B122 Adak AK 99546-9800,AK-ALEUTIANS WEST,20-CRF-001,GRANT,855718.11,855718.11,0
